Original,Filtered
-0.38696152,-0.38696152
-0.38696152,-0.38696152
-0.335,-0.335
-0.27303848,-0.27303848
-0.25303848,-0.25303848
-0.295,-0.295
-0.34696152,-0.34696152
-0.34196152,-0.34196152
-0.3,-0.3
-0.23303848,-0.23303848
-0.21303848,-0.21303848
-0.25,-0.25
-0.29696152,-0.29696152
-0.29696152,-0.29696152
-0.235,-0.235
-0.17803848,-0.17803848
-0.16803848,-0.16803848
-0.185,-0.185
-0.22196152,-0.22196152
-0.25196152,-0.25196152
-0.205,-0.205
-0.13303848,-0.13303848
-0.093038476,-0.093038476
-0.125,-0.125
-0.18696152,-0.18696152
-0.21696152,-0.21696152
-0.185,-0.185
-0.13803848,-0.13803848
-0.10303848,-0.10303848
-0.11,-0.11
-0.14196152,-0.14196152
-0.17696152,-0.17696152
-0.13,-0.13
-0.078038476,-0.078038476
-0.073038476,-0.073038476
-0.12,-0.12
-0.18196152,-0.18196152
-0.17196152,-0.17196152
-0.095,-0.095
-0.028038476,-0.028038476
-0.033038476,-0.033038476
-0.08,-0.08
-0.14196152,-0.14196152
-0.15196152,-0.15196152
-0.13,-0.13
-0.098038476,-0.098038476
-0.083038476,-0.083038476
-0.115,-0.115
-0.16696152,-0.16696152
-0.16696152,-0.16696152
-0.145,-0.145
-0.083038476,-0.083038476
-0.053038476,-0.053038476
-0.075,-0.075
-0.13696152,-0.13696152
-0.15696152,-0.15696152
-0.135,-0.135
-0.098038476,-0.098038476
-0.073038476,-0.073038476
-0.105,-0.105
-0.15196152,-0.15196152
-0.15696152,-0.15696152
-0.125,-0.125
-0.088038476,-0.088038476
-0.083038476,-0.083038476
-0.1,-0.1
-0.16696152,-0.16696152
-0.18196152,-0.18196152
-0.145,-0.145
-0.078038476,-0.078038476
-0.053038476,-0.053038476
-0.09,-0.09
-0.17196152,-0.17196152
-0.19196152,-0.19196152
-0.155,-0.155
-0.10303848,-0.10303848
-0.098038476,-0.098038476
-0.14,-0.14
-0.16696152,-0.16696152
-0.14696152,-0.14696152
-0.125,-0.125
-0.098038476,-0.098038476
-0.088038476,-0.088038476
-0.125,-0.125
-0.19196152,-0.19196152
-0.20196152,-0.20196152
-0.13,-0.13
-0.043038476,-0.043038476
-0.0030384758,-0.0030384758
-0.05,-0.05
-0.11696152,-0.11696152
-0.11696152,-0.11696152
-0.08,-0.08
-0.028038476,-0.028038476
-0.038038476,-0.038038476
-0.09,-0.09
-0.13196152,-0.13196152
-0.13196152,-0.13196152
-0.08,-0.08
-0.048038476,-0.048038476
-0.038038476,-0.038038476
-0.075,-0.075
-0.091961524,-0.091961524
-0.056961524,-0.056961524
0.01,0.01
0.071961524,0.071961524
0.076961524,0.076961524
0.045,0.045
-0.0069615242,-0.0069615242
-0.0069615242,-0.0069615242
0.04,0.04
0.096961524,0.096961524
0.10696152,0.10696152
0.08,0.08
0.023038476,0.023038476
-0.0019615242,-0.0019615242
-0.01,-0.01
0.021961524,0.021961524
0.016961524,0.016961524
-0.015,-0.015
-0.041961524,-0.041961524
-0.011961524,-0.011961524
0.065,0.065
0.14196152,0.14196152
0.14196152,0.14196152
0.065,0.065
-0.0019615242,-0.0019615242
-0.036961524,-0.036961524
-0.005,-0.005
0.021961524,0.021961524
0.0069615242,0.0069615242
-0.045,-0.045
-0.096961524,-0.096961524
-0.11196152,-0.11196152
-0.1,-0.1
-0.043038476,-0.043038476
-0.018038476,-0.018038476
-0.03,-0.03
-0.086961524,-0.086961524
-0.12696152,-0.12696152
-0.105,-0.105
-0.043038476,-0.043038476
-0.033038476,-0.033038476
-0.075,-0.075
-0.15196152,-0.15196152
-0.16696152,-0.16696152
-0.13,-0.13
-0.073038476,-0.073038476
-0.048038476,-0.048038476
-0.085,-0.085
-0.13196152,-0.13196152
-0.12196152,-0.12196152
-0.07,-0.07
-0.023038476,-0.023038476
-0.033038476,-0.033038476
-0.095,-0.095
-0.14196152,-0.14196152
-0.14196152,-0.14196152
-0.085,-0.085
-0.023038476,-0.023038476
-0.013038476,-0.013038476
-0.07,-0.07
-0.16696152,-0.16696152
-0.20696152,-0.20696152
-0.19,-0.19
-0.15303848,-0.15303848
-0.18803848,-0.18803848
-0.255,-0.255
-0.28196152,-0.28196152
-0.18196152,-0.18196152
-0.035,-0.035
0.12696152,0.12696152
0.26696152,0.26696152
0.405,0.405
0.60803848,0.60803848
0.80803848,0.80803848
0.96,0.96
0.99696152,0.99696152
0.86196152,0.86196152
0.535,0.535
0.13303848,0.13303848
-0.14196152,-0.14196152
-0.235,-0.235
-0.19303848,-0.19303848
-0.11803848,-0.11803848
-0.105,-0.105
-0.16196152,-0.16196152
-0.18196152,-0.18196152
-0.14,-0.14
-0.088038476,-0.088038476
-0.058038476,-0.058038476
-0.09,-0.09
-0.13196152,-0.13196152
-0.13196152,-0.13196152
-0.115,-0.115
-0.088038476,-0.088038476
-0.083038476,-0.083038476
-0.115,-0.115
-0.15696152,-0.15696152
-0.14696152,-0.14696152
-0.11,-0.11
-0.068038476,-0.068038476
-0.068038476,-0.068038476
-0.12,-0.12
-0.15696152,-0.15696152
-0.14196152,-0.14196152
-0.095,-0.095
-0.058038476,-0.058038476
-0.048038476,-0.048038476
-0.085,-0.085
-0.14196152,-0.14196152
-0.14696152,-0.14696152
-0.11,-0.11
-0.078038476,-0.078038476
-0.078038476,-0.078038476
-0.115,-0.115
-0.15196152,-0.15196152
-0.15696152,-0.15696152
-0.115,-0.115
-0.073038476,-0.073038476
-0.068038476,-0.068038476
-0.125,-0.125
-0.18196152,-0.18196152
-0.19196152,-0.19196152
-0.145,-0.145
-0.083038476,-0.083038476
-0.063038476,-0.063038476
-0.1,-0.1
-0.14696152,-0.14696152
-0.15196152,-0.15196152
-0.11,-0.11
-0.063038476,-0.063038476
-0.058038476,-0.058038476
-0.09,-0.09
-0.15696152,-0.15696152
-0.15196152,-0.15196152
-0.11,-0.11
-0.058038476,-0.058038476
-0.053038476,-0.053038476
-0.105,-0.105
-0.15196152,-0.15196152
-0.15196152,-0.15196152
-0.115,-0.115
-0.068038476,-0.068038476
-0.043038476,-0.043038476
-0.095,-0.095
-0.14196152,-0.14196152
-0.13696152,-0.13696152
-0.095,-0.095
-0.048038476,-0.048038476
-0.048038476,-0.048038476
-0.1,-0.1
-0.15196152,-0.15196152
-0.15696152,-0.15696152
-0.125,-0.125
-0.078038476,-0.078038476
-0.078038476,-0.078038476
-0.125,-0.125
-0.18696152,-0.18696152
-0.17196152,-0.17196152
-0.135,-0.135
-0.083038476,-0.083038476
-0.083038476,-0.083038476
-0.125,-0.125
-0.17696152,-0.17696152
-0.18696152,-0.18696152
-0.15,-0.15
-0.10803848,-0.10803848
-0.078038476,-0.078038476
-0.1,-0.1
-0.15196152,-0.15196152
-0.15696152,-0.15696152
-0.105,-0.105
-0.053038476,-0.053038476
-0.043038476,-0.043038476
-0.11,-0.11
-0.18196152,-0.18196152
-0.18196152,-0.18196152
-0.135,-0.135
-0.073038476,-0.073038476
-0.083038476,-0.083038476
-0.105,-0.105
-0.15696152,-0.15696152
-0.16196152,-0.16196152
-0.13,-0.13
-0.083038476,-0.083038476
-0.063038476,-0.063038476
-0.105,-0.105
-0.13196152,-0.13196152
-0.13196152,-0.13196152
-0.08,-0.08
-0.013038476,-0.013038476
0.021961524,0.021961524
-0.03,-0.03
-0.076961524,-0.076961524
-0.086961524,-0.086961524
-0.04,-0.04
0.021961524,0.021961524
0.056961524,0.056961524
0.015,0.015
-0.061961524,-0.061961524
-0.071961524,-0.071961524
-0.025,-0.025
0.011961524,0.011961524
0.0069615242,0.0069615242
-0.055,-0.055
-0.10196152,-0.10196152
-0.081961524,-0.081961524
-0.03,-0.03
0.031961524,0.031961524
0.026961524,0.026961524
-0.025,-0.025
-0.056961524,-0.056961524
-0.076961524,-0.076961524
-0.045,-0.045
-0.013038476,-0.013038476
-0.0080384758,-0.0080384758
-0.05,-0.05
-0.091961524,-0.091961524
-0.10196152,-0.10196152
-0.035,-0.035
0.011961524,0.011961524
0.021961524,0.021961524
-0.02,-0.02
-0.081961524,-0.081961524
-0.086961524,-0.086961524
-0.05,-0.05
-0.013038476,-0.013038476
-0.0030384758,-0.0030384758
-0.05,-0.05
-0.12196152,-0.12196152
-0.11196152,-0.11196152
-0.08,-0.08
-0.038038476,-0.038038476
-0.033038476,-0.033038476
-0.08,-0.08
-0.12196152,-0.12196152
-0.13196152,-0.13196152
-0.08,-0.08
-0.043038476,-0.043038476
-0.023038476,-0.023038476
-0.065,-0.065
-0.12196152,-0.12196152
-0.12696152,-0.12696152
-0.095,-0.095
-0.048038476,-0.048038476
-0.053038476,-0.053038476
-0.105,-0.105
-0.15696152,-0.15696152
-0.16196152,-0.16196152
-0.12,-0.12
-0.078038476,-0.078038476
-0.068038476,-0.068038476
-0.115,-0.115
-0.16196152,-0.16196152
-0.15696152,-0.15696152
-0.1,-0.1
-0.053038476,-0.053038476
-0.053038476,-0.053038476
-0.11,-0.11
-0.16696152,-0.16696152
-0.16696152,-0.16696152
-0.13,-0.13
-0.083038476,-0.083038476
-0.083038476,-0.083038476
-0.125,-0.125
-0.16696152,-0.16696152
-0.14696152,-0.14696152
-0.095,-0.095
-0.048038476,-0.048038476
-0.043038476,-0.043038476
-0.08,-0.08
-0.11696152,-0.11696152
-0.12196152,-0.12196152
-0.09,-0.09
-0.033038476,-0.033038476
-0.018038476,-0.018038476
-0.065,-0.065
-0.10196152,-0.10196152
-0.11196152,-0.11196152
-0.055,-0.055
0.0069615242,0.0069615242
0.0069615242,0.0069615242
-0.04,-0.04
-0.091961524,-0.091961524
-0.10696152,-0.10696152
-0.06,-0.06
-0.018038476,-0.018038476
-0.0030384758,-0.0030384758
-0.055,-0.055
-0.11696152,-0.11696152
-0.10696152,-0.10696152
-0.055,-0.055
0.021961524,0.021961524
0.036961524,0.036961524
-0.03,-0.03
-0.10196152,-0.10196152
-0.13696152,-0.13696152
-0.12,-0.12
-0.068038476,-0.068038476
-0.083038476,-0.083038476
-0.125,-0.125
-0.18696152,-0.18696152
-0.20196152,-0.20196152
-0.175,-0.175
-0.12803848,-0.12803848
-0.11803848,-0.11803848
-0.18,-0.18
-0.23696152,-0.23696152
-0.26196152,-0.26196152
-0.22,-0.22
-0.16303848,-0.16303848
-0.16303848,-0.16303848
-0.215,-0.215
-0.26696152,-0.26696152
-0.28696152,-0.28696152
-0.225,-0.225
-0.18303848,-0.18303848
-0.18303848,-0.18303848
-0.23,-0.23
-0.28696152,-0.28696152
-0.27696152,-0.27696152
-0.235,-0.235
-0.17803848,-0.17803848
-0.19803848,-0.19803848
-0.24,-0.24
-0.28696152,-0.28696152
-0.29696152,-0.29696152
-0.25,-0.25
-0.18803848,-0.18803848
-0.19803848,-0.19803848
-0.24,-0.24
-0.30196152,-0.30196152
-0.34196152,-0.34196152
-0.335,-0.335
-0.31303848,-0.31303848
-0.31803848,-0.31803848
-0.395,-0.395
-0.48196152,-0.48196152
-0.51196152,-0.51196152
-0.44,-0.44
-0.28803848,-0.28803848
-0.15303848,-0.15303848
-0.055,-0.055
0.053038476,0.053038476
0.26803848,0.26803848
0.56,0.56
0.80196152,0.80196152
0.94696152,0.94696152
0.92,0.92
0.72803848,0.72803848
0.44303848,0.44303848
0.13,0.13
-0.14803848,-0.14803848
-0.34803848,-0.34803848
-0.46,-0.46
-0.52696152,-0.52696152
-0.51196152,-0.51196152
-0.44,-0.44
-0.35803848,-0.35803848
-0.30303848,-0.30303848
-0.325,-0.325
-0.38196152,-0.38196152
-0.38696152,-0.38696152
-0.34,-0.34
-0.28803848,-0.28803848
-0.27803848,-0.27803848
-0.325,-0.325
-0.37696152,-0.37696152
-0.38696152,-0.38696152
-0.355,-0.355
-0.30303848,-0.30303848
-0.29303848,-0.29303848
-0.34,-0.34
-0.39696152,-0.39696152
-0.41196152,-0.41196152
-0.37,-0.37
-0.31803848,-0.31803848
-0.30803848,-0.30803848
-0.345,-0.345
-0.40696152,-0.40696152
-0.42696152,-0.42696152
-0.375,-0.375
-0.32303848,-0.32303848
-0.30803848,-0.30803848
-0.36,-0.36
-0.41696152,-0.41696152
-0.41196152,-0.41196152
-0.365,-0.365
-0.32803848,-0.32803848
-0.31303848,-0.31303848
-0.35,-0.35
-0.39196152,-0.39196152
-0.42196152,-0.42196152
-0.365,-0.365
-0.30803848,-0.30803848
-0.30803848,-0.30803848
-0.36,-0.36
-0.40696152,-0.40696152
-0.42696152,-0.42696152
-0.38,-0.38
-0.32803848,-0.32803848
-0.32303848,-0.32303848
-0.36,-0.36
-0.42696152,-0.42696152
-0.43196152,-0.43196152
-0.385,-0.385
-0.33803848,-0.33803848
-0.33303848,-0.33303848
-0.38,-0.38
-0.43196152,-0.43196152
-0.44196152,-0.44196152
-0.4,-0.4
-0.34803848,-0.34803848
-0.33303848,-0.33303848
-0.38,-0.38
-0.43196152,-0.43196152
-0.44196152,-0.44196152
-0.39,-0.39
-0.33803848,-0.33803848
-0.32803848,-0.32803848
-0.38,-0.38
-0.43196152,-0.43196152
-0.43196152,-0.43196152
-0.385,-0.385
-0.33803848,-0.33803848
-0.34303848,-0.34303848
-0.38,-0.38
-0.45196152,-0.45196152
-0.45196152,-0.45196152
-0.41,-0.41
-0.35303848,-0.35303848
-0.35303848,-0.35303848
-0.395,-0.395
-0.44696152,-0.44696152
-0.46196152,-0.46196152
-0.42,-0.42
-0.36303848,-0.36303848
-0.36303848,-0.36303848
-0.4,-0.4
-0.45696152,-0.45696152
-0.46196152,-0.46196152
-0.41,-0.41
-0.38303848,-0.38303848
-0.37803848,-0.37803848
-0.41,-0.41
-0.46196152,-0.46196152
-0.45696152,-0.45696152
-0.415,-0.415
-0.37803848,-0.37803848
-0.36303848,-0.36303848
-0.405,-0.405
-0.46196152,-0.46196152
-0.45696152,-0.45696152
-0.415,-0.415
-0.35303848,-0.35303848
-0.34803848,-0.34803848
-0.39,-0.39
-0.43696152,-0.43696152
-0.44196152,-0.44196152
-0.38,-0.38
-0.33303848,-0.33303848
-0.30803848,-0.30803848
-0.335,-0.335
-0.38696152,-0.38696152
-0.38696152,-0.38696152
-0.33,-0.33
-0.27803848,-0.27803848
-0.25803848,-0.25803848
-0.305,-0.305
-0.35196152,-0.35196152
-0.34696152,-0.34696152
-0.3,-0.3
-0.25303848,-0.25303848
-0.23803848,-0.23803848
-0.28,-0.28
-0.34696152,-0.34696152
-0.34696152,-0.34696152
-0.3,-0.3
-0.25303848,-0.25303848
-0.23803848,-0.23803848
-0.27,-0.27
-0.32696152,-0.32696152
-0.33196152,-0.33196152
-0.295,-0.295
-0.24803848,-0.24803848
-0.23803848,-0.23803848
-0.285,-0.285
-0.33696152,-0.33696152
-0.33696152,-0.33696152
-0.295,-0.295
-0.25303848,-0.25303848
-0.25303848,-0.25303848
-0.295,-0.295
-0.35196152,-0.35196152
-0.35196152,-0.35196152
-0.31,-0.31
-0.25803848,-0.25803848
-0.25303848,-0.25303848
-0.305,-0.305
-0.35196152,-0.35196152
-0.34696152,-0.34696152
-0.31,-0.31
-0.25803848,-0.25803848
-0.26303848,-0.26303848
-0.305,-0.305
-0.35196152,-0.35196152
-0.36196152,-0.36196152
-0.32,-0.32
-0.28803848,-0.28803848
-0.28303848,-0.28303848
-0.33,-0.33
-0.38196152,-0.38196152
-0.39196152,-0.39196152
-0.34,-0.34
-0.29803848,-0.29803848
-0.29803848,-0.29803848
-0.335,-0.335
-0.39196152,-0.39196152
-0.40196152,-0.40196152
-0.35,-0.35
-0.30803848,-0.30803848
-0.29303848,-0.29303848
-0.33,-0.33
-0.39196152,-0.39196152
-0.40196152,-0.40196152
-0.355,-0.355
-0.30803848,-0.30803848
-0.30303848,-0.30303848
-0.355,-0.355
-0.40696152,-0.40696152
-0.40696152,-0.40696152
-0.375,-0.375
-0.32803848,-0.32803848
-0.30803848,-0.30803848
-0.345,-0.345
-0.38696152,-0.38696152
-0.38196152,-0.38196152
-0.33,-0.33
-0.27803848,-0.27803848
-0.26803848,-0.26803848
-0.305,-0.305
-0.34196152,-0.34196152
-0.32696152,-0.32696152
-0.29,-0.29
-0.23803848,-0.23803848
-0.21803848,-0.21803848
-0.265,-0.265
-0.30696152,-0.30696152
-0.29696152,-0.29696152
-0.255,-0.255
-0.19803848,-0.19803848
-0.19303848,-0.19303848
-0.235,-0.235
-0.29696152,-0.29696152
-0.30696152,-0.30696152
-0.265,-0.265
-0.22303848,-0.22303848
-0.20803848,-0.20803848
-0.25,-0.25
-0.30196152,-0.30196152
-0.30196152,-0.30196152
-0.25,-0.25
-0.19303848,-0.19303848
-0.16303848,-0.16303848
-0.215,-0.215
-0.28696152,-0.28696152
-0.32196152,-0.32196152
-0.29,-0.29
-0.26303848,-0.26303848
-0.25803848,-0.25803848
-0.335,-0.335
-0.40196152,-0.40196152
-0.41196152,-0.41196152
-0.375,-0.375
-0.33303848,-0.33303848
-0.33803848,-0.33803848
-0.38,-0.38
-0.42696152,-0.42696152
-0.43196152,-0.43196152
-0.395,-0.395
-0.34803848,-0.34803848
-0.33803848,-0.33803848
-0.38,-0.38
-0.44196152,-0.44196152
-0.45196152,-0.45196152
-0.4,-0.4
-0.35303848,-0.35303848
-0.34803848,-0.34803848
-0.395,-0.395
-0.44196152,-0.44196152
-0.44696152,-0.44696152
-0.4,-0.4
-0.35303848,-0.35303848
-0.34303848,-0.34303848
-0.385,-0.385
-0.44196152,-0.44196152
-0.44696152,-0.44696152
-0.405,-0.405
-0.36803848,-0.36803848
-0.37303848,-0.37303848
-0.445,-0.445
-0.51696152,-0.51696152
-0.56196152,-0.56196152
-0.535,-0.535
-0.51803848,-0.51803848
-0.54803848,-0.54803848
-0.595,-0.595
-0.58196152,-0.58196152
-0.49196152,-0.49196152
-0.315,-0.315
-0.12803848,-0.12803848
0.066961524,0.066961524
0.275,0.275
0.46303848,0.46303848
0.61803848,0.61803848
0.695,0.695
0.62196152,0.62196152
0.33696152,0.33696152
-0.065,-0.065
-0.42196152,-0.42196152
-0.58196152,-0.58196152
-0.575,-0.575
-0.48303848,-0.48303848
-0.41803848,-0.41803848
-0.43,-0.43
-0.47696152,-0.47696152
-0.49196152,-0.49196152
-0.45,-0.45
-0.39303848,-0.39303848
-0.37803848,-0.37803848
-0.425,-0.425
-0.47696152,-0.47696152
-0.49196152,-0.49196152
-0.465,-0.465
-0.41803848,-0.41803848
-0.39303848,-0.39303848
-0.44,-0.44
-0.49696152,-0.49696152
-0.51196152,-0.51196152
-0.455,-0.455
-0.39303848,-0.39303848
-0.38803848,-0.38803848
-0.44,-0.44
-0.49196152,-0.49196152
-0.49196152,-0.49196152
-0.455,-0.455
-0.40303848,-0.40303848
-0.38803848,-0.38803848
-0.435,-0.435
-0.48196152,-0.48196152
-0.49196152,-0.49196152
-0.45,-0.45
-0.38803848,-0.38803848
-0.37803848,-0.37803848
-0.425,-0.425
-0.47196152,-0.47196152
-0.48196152,-0.48196152
-0.44,-0.44
-0.38803848,-0.38803848
-0.39303848,-0.39303848
-0.43,-0.43
-0.48696152,-0.48696152
-0.48696152,-0.48696152
-0.45,-0.45
-0.39303848,-0.39303848
-0.39303848,-0.39303848
-0.445,-0.445
-0.49196152,-0.49196152
-0.49696152,-0.49696152
-0.44,-0.44
-0.40803848,-0.40803848
-0.38303848,-0.38303848
-0.425,-0.425
-0.46696152,-0.46696152
-0.48196152,-0.48196152
-0.435,-0.435
-0.38803848,-0.38803848
-0.37303848,-0.37303848
-0.415,-0.415
-0.47196152,-0.47196152
-0.47196152,-0.47196152
-0.445,-0.445
-0.38803848,-0.38803848
-0.38303848,-0.38303848
-0.43,-0.43
-0.47196152,-0.47196152
-0.48196152,-0.48196152
-0.44,-0.44
-0.38803848,-0.38803848
-0.37803848,-0.37803848
-0.42,-0.42
-0.48196152,-0.48196152
-0.48696152,-0.48696152
-0.435,-0.435
-0.39303848,-0.39303848
-0.38803848,-0.38803848
-0.43,-0.43
-0.47196152,-0.47196152
-0.47696152,-0.47696152
-0.435,-0.435
-0.39303848,-0.39303848
-0.38303848,-0.38303848
-0.43,-0.43
-0.48196152,-0.48196152
-0.49196152,-0.49196152
-0.445,-0.445
-0.40803848,-0.40803848
-0.38803848,-0.38803848
-0.445,-0.445
-0.50196152,-0.50196152
-0.50196152,-0.50196152
-0.46,-0.46
-0.40803848,-0.40803848
-0.40303848,-0.40303848
-0.44,-0.44
-0.48696152,-0.48696152
-0.49196152,-0.49196152
-0.445,-0.445
-0.39803848,-0.39803848
-0.37803848,-0.37803848
-0.415,-0.415
-0.45696152,-0.45696152
-0.44196152,-0.44196152
-0.385,-0.385
-0.32303848,-0.32303848
-0.31303848,-0.31303848
-0.36,-0.36
-0.40196152,-0.40196152
-0.39196152,-0.39196152
-0.345,-0.345
-0.29803848,-0.29803848
-0.28303848,-0.28303848
-0.32,-0.32
-0.37696152,-0.37696152
-0.37696152,-0.37696152
-0.32,-0.32
-0.27803848,-0.27803848
-0.26803848,-0.26803848
-0.32,-0.32
-0.36196152,-0.36196152
-0.37196152,-0.37196152
-0.32,-0.32
-0.26803848,-0.26803848
-0.27803848,-0.27803848
-0.31,-0.31
-0.36196152,-0.36196152
-0.36696152,-0.36696152
-0.32,-0.32
-0.27303848,-0.27303848
-0.26303848,-0.26303848
-0.3,-0.3
-0.35196152,-0.35196152
-0.35196152,-0.35196152
-0.315,-0.315
-0.25803848,-0.25803848
-0.25303848,-0.25303848
-0.295,-0.295
-0.34696152,-0.34696152
-0.35696152,-0.35696152
-0.315,-0.315
-0.26303848,-0.26303848
-0.26803848,-0.26803848
-0.32,-0.32
-0.35696152,-0.35696152
-0.36696152,-0.36696152
-0.315,-0.315
-0.27803848,-0.27803848
-0.27803848,-0.27803848
-0.32,-0.32
-0.36696152,-0.36696152
-0.38696152,-0.38696152
-0.345,-0.345
-0.30303848,-0.30303848
-0.28803848,-0.28803848
-0.32,-0.32
-0.37696152,-0.37696152
-0.37696152,-0.37696152
-0.335,-0.335
-0.29303848,-0.29303848
